60.00000000	66.00000000
66.00000000	72.00000000
72.00000000	78.00000000
78.00000000	84.00000000
84.00000000	90.00000000
90.00000000	96.00000000
96.00000000	102.00000000
102.00000000	108.00000000
108.00000000	114.00000000
114.00000000	120.00000000
120.00000000	126.00000000
126.00000000	132.00000000
132.00000000	138.00000000
138.00000000	144.00000000
144.00000000	150.00000000
150.00000000	156.00000000
156.00000000	162.00000000
162.00000000	168.00000000
168.00000000	174.00000000
174.00000000	180.00000000
180.00000000	186.00000000
186.00000000	192.00000000
192.00000000	198.00000000
198.00000000	204.00000000
204.00000000	210.00000000
210.00000000	216.00000000
216.00000000	222.00000000
222.00000000	228.00000000
228.00000000	234.00000000
234.00000000	240.00000000
